_id.username,_id.location,count
smth78,"Kuala Lumpur, Malaysia",1
cgcf,Singapore,1
ronrush,Singapore,1
Kennie_Wong,Singapore,1
SukhumvitRoad,"Bangkok, Thailand",1
Jopin55,Singapore,3
Roberto C,"Bangkok, Thailand",1
Sandbites,"Manila, Philippines",1
Derrick_Ong,"Kuala Lumpur, Malaysia",1
michiruo,Singapore,1
JGLing,Singapore,1
zuluwarriors1879,Singapore,1
utamaputranto,"Jakarta, Indonesia",1
lollipops,"Bangkok, Thailand",2
noboundary,Singapore,1
Matt873,Singapore,2
suami_intan,"Jakarta, Indonesia",2
dr_dohh,"Manila, Philippines",1
Sandy C,"Manila, Philippines",1
docYo,"Jakarta, Indonesia",1
Rose J,"Kuala Lumpur, Malaysia",1
mrslye,Singapore,1
Friedrich Wu W,Singapore,1
Bellesister,"Jakarta, Indonesia",1
SQguy,Singapore,1
George H,Singapore,1
thesmee,Singapore,1
Samkeith,"Bangkok, Thailand",1
ihumpnerds,"Bangkok, Thailand",1
SpringZephyr,Singapore,1
Singapore_tourist,Singapore,1
SingaporeGuy10,Singapore,1
J D,"Manila, Philippines",2
kooifei,Singapore,1
caplet,"Bangkok, Thailand",1
DanielOon,Singapore,1
tedybery,Singapore,1
thatsgreatforme,Singapore,3
kwaidum,"Bangkok, Thailand",1
collected,"Bangkok, Thailand",1
BigFatKittyCat,Singapore,1
Armani74,"Bangkok, Thailand",2
joannesim77,Singapore,3
garlicManila,"Manila, Philippines",1
TaipeiFox,"Jakarta, Indonesia",1
ARSeattle,"Bangkok, Thailand",1
SiamSamBangkok,"Bangkok, Thailand",1
Kiwi8888,"Jakarta, Indonesia",1
jambu583,"Kuala Lumpur, Malaysia",1
mySEAtravels,"Kuala Lumpur, Malaysia",1
W_Mitty_x,Singapore,1
Cher_711,Singapore,1
WeiQi,Singapore,1
eyy,"Manila, Philippines",1
ArthurC,Singapore,1
Burns_Kazuo,Singapore,1
estvanguardia,"Manila, Philippines",1
AsiaRoadWarrior,Singapore,2
davidescobar71,"Kuala Lumpur, Malaysia",1
amoljo,Singapore,1
fussy_princess,Singapore,1
Yunnnn,Singapore,1
mlmleong,Singapore,2
cryolite,Singapore,1
CrazzeeShopper,"Manila, Philippines",1
ABN2012,Singapore,1
th387,Singapore,1
WillChin,Singapore,1
PicardSingapore,Singapore,1
LGuo,Singapore,2
hdpf,"Bangkok, Thailand",1
bebe12,"Kuala Lumpur, Malaysia",2
larrybud,Singapore,1
Pamperedtraveller,Singapore,1
BrigidE,"Bangkok, Thailand",2
gsk2007,Singapore,1
dbtgo,"Manila, Philippines",1
Audera,Singapore,1
arthil_11,"Manila, Philippines",1
jotanyp,Singapore,1
sweetkaka,"Bangkok, Thailand",4
MamaSqueak,"Manila, Philippines",1
SingaporeTravellerCY,Singapore,1
Ardjuna,"Jakarta, Indonesia",1
lslim,Singapore,1
Sor_Family,Singapore,1
LizaLand,"Bangkok, Thailand",1
AnneNap33,"Bangkok, Thailand",1
sizzleskins75,Singapore,1
davidccp,Singapore,1
DavidAsh,Singapore,1
denny k,"Jakarta, Indonesia",1
TGMmla,"Manila, Philippines",1
Alessia P,"Manila, Philippines",1
bachk,Singapore,1
cornballqueen,Singapore,1
Love-a-trip-now,Singapore,1
chocolatetruffle,Singapore,1
hazelmelanie,"Kuala Lumpur, Malaysia",1
fleridavlabanon,"Manila, Philippines",1
