_id,ratings.overall,offeringDetails[0].hotel_class,offeringDetails[0].name
65ac46887672c3f8efe2ed9f,3,4,Dylan Hotel
65ac46887672c3f8efe2f02d,4,4,Dylan Hotel
65ac46887672c3f8efe2f779,4,,Da Vinci Hotel
65ac46887672c3f8efe2f7e4,3,4,The Westin New York Grand Central
65ac46887672c3f8efe2fc53,4,4,Park Central
65ac46887672c3f8efe30246,4,4,The Mansfield
65ac46887672c3f8efe302fe,5,4,Doubletree Hotel Metropolitan - New York City
65ac46897672c3f8efe30617,2,2.5,Hotel Pennsylvania New York
65ac46897672c3f8efe30768,3,4,Dream New York
65ac46897672c3f8efe307dc,4,4,Hilton Manhattan East
65ac46897672c3f8efe308c4,4,3,The Milburn Hotel
65ac46897672c3f8efe30947,2,4,Doubletree Hotel Metropolitan - New York City
65ac46897672c3f8efe30d05,3,3.5,Club Quarters Wall Street
65ac46897672c3f8efe30ddd,4,4,Le Parker Meridien
65ac46897672c3f8efe31363,3,4,Millennium Hotel Broadway
65ac46897672c3f8efe313e2,4,3,La Quinta Inn Manhattan
65ac46897672c3f8efe3163e,3,3,La Quinta Inn Manhattan
65ac46897672c3f8efe31a76,2,,Herald Square Hotel
65ac46897672c3f8efe31a83,3,3,Four Points by Sheraton Manhattan Chelsea
65ac46897672c3f8efe31bc9,4,3.5,Washington Jefferson Hotel
65ac46897672c3f8efe31d4d,4,,Herald Square Hotel
65ac46897672c3f8efe32129,4,3.5,Washington Jefferson Hotel
65ac46897672c3f8efe3212f,4,2.5,Travel Inn Hotel New York
65ac46897672c3f8efe321eb,4,3,Edison Hotel Times Square
65ac46897672c3f8efe3225a,4,3.5,Washington Jefferson Hotel
65ac46897672c3f8efe323bb,3,,Herald Square Hotel
65ac46897672c3f8efe323d2,4,3,Holiday Inn Express New York City Fifth Ave
65ac46897672c3f8efe32448,4,4,Hudson New York
65ac46897672c3f8efe3267b,4,4,Le Parker Meridien
65ac468a7672c3f8efe32b11,4,,Herald Square Hotel
65ac468a7672c3f8efe32b47,5,,Herald Square Hotel
65ac468a7672c3f8efe32b4c,3,3,Holiday Inn Express New York City Fifth Ave
65ac468a7672c3f8efe32ef6,4,3,Edison Hotel Times Square
65ac468a7672c3f8efe32fc2,3,4,Millennium Hotel Broadway
65ac468a7672c3f8efe32fdd,4,4,Millennium Hotel Broadway
65ac468a7672c3f8efe33313,2,2.5,Travel Inn Hotel New York
65ac468a7672c3f8efe33c41,1,4,Hilton New York
65ac468a7672c3f8efe33ed5,3,4,Hilton New York
65ac468a7672c3f8efe342af,1,4,Millennium Hotel Broadway
65ac468a7672c3f8efe34567,4,4,Hilton New York
65ac468a7672c3f8efe34971,1,4,Hilton New York
65ac468a7672c3f8efe349de,4,4,Hilton New York
65ac468a7672c3f8efe34e17,1,2.5,Travel Inn Hotel New York
65ac468a7672c3f8efe35017,2,2,The Jane
65ac468a7672c3f8efe35026,4,5,ONE UN New York
65ac468b7672c3f8efe353fd,1,3,Edison Hotel Times Square
65ac468b7672c3f8efe3542d,4,2,The Jane
65ac468b7672c3f8efe355ac,4,2,The Jane
65ac468b7672c3f8efe35817,4,2,The Jane
65ac468b7672c3f8efe359d7,4,,The Hotel at Times Square
65ac468b7672c3f8efe359e7,3,,Larchmont Hotel
65ac468b7672c3f8efe35a9d,5,,The Hotel at Times Square
65ac468b7672c3f8efe35b8b,2,5,ONE UN New York
65ac468b7672c3f8efe35e24,5,4,The Helmsley Park Lane
65ac468b7672c3f8efe35f09,3,,The Hotel at Times Square
65ac468b7672c3f8efe360c8,5,2,The Jane
65ac468b7672c3f8efe36198,2,3,Ramada Eastside
65ac468b7672c3f8efe3621d,5,,The Hotel at Times Square
65ac468b7672c3f8efe36509,5,4,Grand Hyatt New York
65ac468b7672c3f8efe36703,1,5,ONE UN New York
65ac468b7672c3f8efe36806,4,5,ONE UN New York
65ac468b7672c3f8efe36979,4,4,Grand Hyatt New York
65ac468b7672c3f8efe369b9,4,4,Doubletree Hotel Chelsea New York City
65ac468b7672c3f8efe36b5a,4,,The Hotel at Times Square
65ac468b7672c3f8efe36bf8,3,4,Sheraton Tribeca New York Hotel
65ac468b7672c3f8efe36bfe,5,3,Hotel Newton
65ac468b7672c3f8efe37640,5,4,Sheraton Tribeca New York Hotel
65ac468b7672c3f8efe3770b,4,3,Hotel Newton
65ac468b7672c3f8efe3777f,4,4.5,W New York - Downtown
65ac468b7672c3f8efe3784b,3,,The Hotel at Times Square
65ac468b7672c3f8efe37966,4,4,Sheraton Tribeca New York Hotel
65ac468b7672c3f8efe3796b,5,3.5,Courtyard New York Manhattan/Fifth Avenue
65ac468c7672c3f8efe37b0d,3,4.5,W New York - Downtown
65ac468c7672c3f8efe37b38,1,4,Grand Hyatt New York
65ac468c7672c3f8efe37bc1,1,4,Grand Hyatt New York
65ac468c7672c3f8efe37bce,5,3,Hotel Newton
65ac468c7672c3f8efe37cbf,5,2,Hotel 17
65ac468c7672c3f8efe37dd0,4,5,ONE UN New York
65ac468c7672c3f8efe38117,4,3,Murray Hill East Suites
65ac468c7672c3f8efe38749,1,4,Sheraton Tribeca New York Hotel
65ac468c7672c3f8efe3885f,1,4,Hilton New York
65ac468c7672c3f8efe38896,3,3.5,Four Points by Sheraton Midtown - Times Square
65ac468c7672c3f8efe39044,4,2,Hotel 31
65ac468c7672c3f8efe390f8,5,4,Grand Hyatt New York
65ac468c7672c3f8efe39451,3,3.5,Four Points by Sheraton Midtown - Times Square
65ac468c7672c3f8efe395f4,4,2,Hotel 31
65ac468c7672c3f8efe3962e,3,2,Hotel 31
65ac468c7672c3f8efe39889,4,3.5,Four Points by Sheraton Midtown - Times Square
